"rnaseq_profile_id","sampling_region","sources"
502831642,"Mouse VISp - L1","VIS"
502831648,"Mouse VISp - L1","VIS"
502831656,"Mouse VISp - L1","VIS"
502831661,"Mouse VISp - L1","VIS"
502831665,"Mouse VISp - L1","VIS"
502831673,"Mouse VISp - L1","VIS"
502831677,"Mouse VISp - L1","VIS"
502831680,"Mouse VISp - L1","VIS"
502831683,"Mouse VISp - L1","VIS"
502831687,"Mouse VISp - L1","VIS"
502831690,"Mouse VISp - L1","VIS"
502831702,"Mouse VISp - L1","VIS"
502831722,"Mouse VISp - L1","VIS"
502831724,"Mouse VISp - L1","VIS"
502831726,"Mouse VISp - L1","VIS"
502831728,"Mouse VISp - L4","VIS"
502831730,"Mouse VISp - L4","VIS"
502831732,"Mouse VISp - L4","VIS"
502831734,"Mouse VISp - L4","VIS"
502831736,"Mouse VISp - L4","VIS"
502831738,"Mouse VISp - L4","VIS"
502831740,"Mouse VISp - L4","VIS"
502831742,"Mouse VISp - L4","VIS"
502831745,"Mouse VISp - L4","VIS"
502831747,"Mouse VISp - L4","VIS"
502831749,"Mouse VISp - L4","VIS"
502831751,"Mouse VISp - L4","VIS"
502831753,"Mouse VISp - L4","VIS"
502831755,"Mouse VISp - L4","VIS"
502831757,"Mouse VISp - L4","VIS"
502831760,"Mouse VISp - L4","VIS"
502831762,"Mouse VISp - L2/3","VIS"
502831764,"Mouse VISp - L2/3","VIS"
502831766,"Mouse VISp - L2/3","VIS"
502831768,"Mouse VISp - L2/3","VIS"
502831770,"Mouse VISp - L2/3","VIS"
502831773,"Mouse VISp - L2/3","VIS"
502831775,"Mouse VISp - L2/3","VIS"
502831777,"Mouse VISp - L2/3","VIS"
502831797,"Mouse VISp - L5","VIS"
502831799,"Mouse VISp - L5","VIS"
502831801,"Mouse VISp - L5","VIS"
502831803,"Mouse VISp - L5","VIS"
502831805,"Mouse VISp - L5","VIS"
502831807,"Mouse VISp - L5","VIS"
502831810,"Mouse VISp - L5","VIS"
502831812,"Mouse VISp - L5","VIS"
502831814,"Mouse VISp - L5","VIS"
502831816,"Mouse VISp - L5","VIS"
502831818,"Mouse VISp - L5","VIS"
502831820,"Mouse VISp - L5","VIS"
502831822,"Mouse VISp - L5","VIS"
502831824,"Mouse VISp - L5","VIS"
502831826,"Mouse VISp - L5","VIS"
502831828,"Mouse VISp - L5","VIS"
502831830,"Mouse VISp - L4","VIS"
502831832,"Mouse VISp - L4","VIS"
502831834,"Mouse VISp - L4","VIS"
502831836,"Mouse VISp - L4","VIS"
502831840,"Mouse VISp - L4","VIS"
502831842,"Mouse VISp - L4","VIS"
502831844,"Mouse VISp - L4","VIS"
502831846,"Mouse VISp - L4","VIS"
502831848,"Mouse VISp - L4","VIS"
502831850,"Mouse VISp - L4","VIS"
502831852,"Mouse VISp - L4","VIS"
502831854,"Mouse VISp - L4","VIS"
502831857,"Mouse VISp - L4","VIS"
502831859,"Mouse VISp - L4","VIS"
502831861,"Mouse VISp - L4","VIS"
502831863,"Mouse VISp - L4","VIS"
502831865,"Mouse VISp - L2/3","VIS"
502831867,"Mouse VISp - L2/3","VIS"
502831869,"Mouse VISp - L2/3","VIS"
502831871,"Mouse VISp - L2/3","VIS"
502831873,"Mouse VISp - L2/3","VIS"
502831875,"Mouse VISp - L2/3","VIS"
502831878,"Mouse VISp - L2/3","VIS"
502831880,"Mouse VISp - L2/3","VIS"
502831882,"Mouse VISp - L2/3","VIS"
502831884,"Mouse VISp - L2/3","VIS"
502831886,"Mouse VISp - L2/3","VIS"
502831888,"Mouse VISp - L2/3","VIS"
502831890,"Mouse VISp - L2/3","VIS"
502831892,"Mouse VISp - L2/3","VIS"
502831894,"Mouse VISp - L2/3","VIS"
502831899,"Mouse VISp - L1","VIS"
502831901,"Mouse VISp - L1","VIS"
502831903,"Mouse VISp - L1","VIS"
502831905,"Mouse VISp - L1","VIS"
502831907,"Mouse VISp - L1","VIS"
502831909,"Mouse VISp - L1","VIS"
502831911,"Mouse VISp - L1","VIS"
502831913,"Mouse VISp - L1","VIS"
502831915,"Mouse VISp - L1","VIS"
502831917,"Mouse VISp - L1","VIS"
502831919,"Mouse VISp - L1","VIS"
502831921,"Mouse VISp - L1","VIS"
502831923,"Mouse VISp - L1","VIS"
502831925,"Mouse VISp - L1","VIS"
502831927,"Mouse VISp - L1","VIS"
502831929,"Mouse VISp - L1","VIS"
502831931,"Mouse VISp - L6","VIS"
502831933,"Mouse VISp - L6","VIS"
502831935,"Mouse VISp - L6","VIS"
502831937,"Mouse VISp - L6","VIS"
502831939,"Mouse VISp - L6","VIS"
502831941,"Mouse VISp - L6","VIS"
502831943,"Mouse VISp - L6","VIS"
502831945,"Mouse VISp - L6","VIS"
502831947,"Mouse VISp - L6","VIS"
502831949,"Mouse VISp - L6","VIS"
502831954,"Mouse VISp - L6","VIS"
502831956,"Mouse VISp - L6","VIS"
502831958,"Mouse VISp - L6","VIS"
502831960,"Mouse VISp - L6","VIS"
502831962,"Mouse VISp - L6","VIS"
502831965,"Mouse VISp - L6","VIS"
502831967,"Mouse VISp - L5","VIS"
502831969,"Mouse VISp - L5","VIS"
502831971,"Mouse VISp - L5","VIS"
502831973,"Mouse VISp - L5","VIS"
502831975,"Mouse VISp - L5","VIS"
502831977,"Mouse VISp - L5","VIS"
502831979,"Mouse VISp - L5","VIS"
502831982,"Mouse VISp - L5","VIS"
502831984,"Mouse VISp - L5","VIS"
502831986,"Mouse VISp - L5","VIS"
502831988,"Mouse VISp - L5","VIS"
502831990,"Mouse VISp - L5","VIS"
502831992,"Mouse VISp - L5","VIS"
502831995,"Mouse VISp - L5","VIS"
502831997,"Mouse VISp - L5","VIS"
502831999,"Mouse VISp - L5","VIS"
502832001,"Mouse VISp - L5","VIS"
502832003,"Mouse VISp - L5","VIS"
502832005,"Mouse VISp - L5","VIS"
502832007,"Mouse VISp - L5","VIS"
502832009,"Mouse VISp - L5","VIS"
502832011,"Mouse VISp - L5","VIS"
502832013,"Mouse VISp - L5","VIS"
502832015,"Mouse VISp - L5","VIS"
502832017,"Mouse VISp - L2/3","VIS"
502832019,"Mouse VISp - L2/3","VIS"
502832021,"Mouse VISp - L2/3","VIS"
502832023,"Mouse VISp - L2/3","VIS"
502832025,"Mouse VISp - L2/3","VIS"
502832027,"Mouse VISp - L2/3","VIS"
502832029,"Mouse VISp - L2/3","VIS"
502832031,"Mouse VISp - L2/3","VIS"
502832049,"Mouse VISp - L5","VIS"
502832052,"Mouse VISp - L5","VIS"
502832054,"Mouse VISp - L5","VIS"
502832056,"Mouse VISp - L5","VIS"
502832058,"Mouse VISp - L5","VIS"
502832060,"Mouse VISp - L5","VIS"
502832062,"Mouse VISp - L5","VIS"
502832064,"Mouse VISp - L5","VIS"
502832067,"Mouse VISp - L2/3","VIS"
502832072,"Mouse VISp - L2/3","VIS"
502832074,"Mouse VISp - L2/3","VIS"
502832077,"Mouse VISp - L2/3","VIS"
502832081,"Mouse VISp - L2/3","VIS"
502832083,"Mouse VISp - L2/3","VIS"
502832085,"Mouse VISp - L2/3","VIS"
502832087,"Mouse VISp - L2/3","VIS"
502832090,"Mouse VISp - L2/3","VIS"
502832094,"Mouse VISp - L2/3","VIS"
502832098,"Mouse VISp - L2/3","VIS"
502832100,"Mouse VISp - L2/3","VIS"
502832104,"Mouse VISp - L2/3","VIS"
502832108,"Mouse VISp - L2/3","VIS"
502832119,"Mouse VISp - L2/3","VIS"
502832125,"Mouse VISp - L2/3","VIS"
502832130,"Mouse VISp - L6","VIS"
502832136,"Mouse VISp - L6","VIS"
502832141,"Mouse VISp - L6","VIS"
502832151,"Mouse VISp - L6","VIS"
502832162,"Mouse VISp - L6","VIS"
502832168,"Mouse VISp - L6","VIS"
502832176,"Mouse VISp - L6","VIS"
502832189,"Mouse VISp - L6","VIS"
502832198,"Mouse VISp - L6","VIS"
502832212,"Mouse VISp - L6","VIS"
502832230,"Mouse VISp - L6","VIS"
502832242,"Mouse VISp - L6","VIS"
502832261,"Mouse VISp - L6","VIS"
502832283,"Mouse VISp - L6","VIS"
502832290,"Mouse VISp - L6","VIS"
502832293,"Mouse VISp - L6","VIS"
502832307,"Mouse VISp - L5","VIS"
502832334,"Mouse VISp - L5","VIS"
