"y1","y2","rnaseq_profile_id","sampling_region","sources","kmean_1","kmean_2","kmean_3","kmean_4","kmean_5","kmean_6","kmean_7","kmean_8","kmean_9","kmean_10","kmean_11","kmean_12","kmean_13","kmean_14","kmean_15","kmean_16","kmean_17","kmean_18","kmean_19","kmean_20","louvain_k30"
11.9689670829277,-29.5981554674502,487202047,"Mouse VISp - L4, L5, L6","VIS",1,1,1,3,5,4,4,8,6,3,3,6,4,7,11,12,5,5,3,3,18
-15.1109234409954,-8.59754047816408,487202049,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-0.343842126552634,-31.9576600300217,487202055,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
0.10822831023085,-31.1963917653868,487202057,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.271322896721281,-32.2380671529088,487202059,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-1.22676268753922,-30.0779787770549,487202061,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,8,6,7,9,11,12,11,5,1,2,15,16,5,1
-8.89990082656684,-4.71082242973194,487202063,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-14.8078445255867,-8.69539610147039,487202065,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-0.0585345334650718,-31.5978275935327,487202067,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.0406364959196183,-31.5518377594255,487202069,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-20.4279564614654,-18.1623381777426,487202071,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,2,10,3,2,17,17,6,8,8
-0.696688975017346,-31.8107352075444,487202077,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.1295235585603,-2.68449043346686,487202079,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-13.8961275415576,-4.38132023144904,487202081,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-14.8526322707676,-3.41036048220902,487202083,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.0146024698715673,-31.552869477883,487202085,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-15.0075969237662,-8.76621958200038,487202087,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-0.353504008899549,-31.9959832904257,487202089,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.8768743194731,-5.63310166350392,487202091,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-0.879005736980914,-31.9290805553988,487202093,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.5536977619477,-10.7224552991143,487202099,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,2,10,3,2,17,17,6,8,13
-0.387254540950331,-31.4847605521444,487202101,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.7934229905259,-4.47936820003812,487202103,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-13.7956307025948,-2.08503709057648,487202105,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-13.9917141576276,-8.80311723271039,487202107,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,14,8,14,8,15,16,8,19
-13.9086073996038,-4.46566647708087,487202109,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-14.4527644051139,-8.41527989152676,487202111,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,5,19
-0.542007217741968,-31.6719446343338,487202113,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.6126032216779,-10.4951783814723,487202115,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,10,3,14,3,15,16,8,19
-0.503429740556259,-31.6497200868075,487202123,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-15.2382906768978,-8.70216162937583,487202125,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-0.314212337208175,-31.3538583698497,487202127,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
